latitude,longitude,height,distance,sum_distance,slope,date,utm_x,utm_y,velocidad_gps,consumo_total,consumo_inst,ds,velocidad
-3.487386,-79.16906,2423.2,40.29264257937215,1346.8704586165643,0.0,12:09:55,703397.6167315447,9614336.55076484,48.84,3092.25,13.2,3,13.430880859790717
-3.487618,-79.168968,2423.2,27.62899533095913,1374.4994539475233,0.0,12:09:57,703407.7905190022,9614310.873869548,48.93,3092.26,13.05,2,13.814497665479564
-3.487848,-79.168884,2423.2,27.10465589885356,1401.6041098463768,0.0,12:09:59,703417.07571337,9614285.419880787,48.8,3092.27,12.3,2,13.55232794942678
-3.488076,-79.1688,2423.2,26.897123937611067,1428.5012337839878,0.0,12:10:01,703426.3613306063,9614260.187069882,48.43,3092.28,12.7,2,13.448561968805533
-3.488303,-79.168709,2423.2,27.074376636122327,1455.57561042011,0.0,12:10:03,703436.4250439404,9614235.063332966,48.19,3092.28,12.85,2,13.537188318061164
-3.488525,-79.168625,2423.2,26.27586415635665,1481.8514745764667,0.0,12:10:05,703445.7119375069,9614210.494058907,48.34,3092.29,12.6,2,13.137932078178325
-3.488735,-79.168495,2423.2,27.360675013002762,1509.2121495894694,0.0,12:10:07,703460.1132415199,9614187.241922094,48.39,3092.3,13.15,2,13.680337506501381
-3.488928,-79.16835,2423.2,26.75341041908516,1535.9655600085546,0.0,12:10:09,703476.1850987951,9614165.866576375,48.58,3092.3,13.7,2,13.37670520954258
-3.489102,-79.168175,2423.2,27.3683704007367,1563.3339304092913,0.0,12:10:11,703495.5948431353,9614146.585957723,48.97,3092.31,13.45,2,13.68418520036835
-3.489255,-79.167984,2423.2,27.15427679610039,1590.4882072053917,0.0,12:10:13,703516.7871305011,9614129.624273874,49.26,3092.32,13.25,2,13.577138398050195
-3.489382,-79.167778,2423.2,26.867299192274114,1617.3555063976657,0.0,12:10:15,703539.6519123843,9614115.534693705,49.52,3092.32,13.35,2,13.433649596137057
-3.489481,-79.167542,2423.2,28.42956361935612,1645.7850700170218,0.0,12:10:17,703565.8565242426,9614104.535152184,49.49,3092.33,13.9,2,14.21478180967806
-3.489545,-79.167305,2423.2,27.281574117589624,1673.0666441346114,0.0,12:10:19,703592.1797987799,9614097.4060588,49.97,3092.34,13.7,2,13.640787058794812
-3.489574,-79.167053,2456.3,28.19706514813758,1701.263709282749,1.1738810342886563,12:10:21,703620.1775151669,9614094.14438457,49.97,3092.35,15.35,2,14.09853257406879
-3.489579,-79.166794,2457.5,28.797220210493986,1730.060929493243,0.04167068874107948,12:10:23,703648.9582924509,9614093.535363734,49.97,3092.36,16.4,2,14.398610105246993
-3.489554,-79.166367,2457.5,47.5417423559091,1777.602671849152,0.0,12:10:26,703696.4148542586,9614096.207679728,57.91,3092.37,18.7,3,15.8472474519697
-3.489537,-79.166084,2457.5,31.51511714502776,1809.1177889941798,0.0,12:10:28,703727.867430119,9614098.026437016,55.62,3092.38,19.25,2,15.75755857251388
-3.489527,-79.16581,2457.5,30.478909933622724,1839.5966989278024,0.0,12:10:30,703758.3183608059,9614099.07299941,56.39,3092.38,12.1,2,15.239454966811362
-3.489515,-79.165527,2457.5,31.48697053000269,1871.0836694578052,0.0,12:10:32,703789.769870472,9614100.338785121,56.45,3092.39,12.45,2,15.743485265001345
-3.489495,-79.165237,2457.5,32.312690775937014,1903.3963602337421,0.0,12:10:34,703822.0009996558,9614102.487771604,57.54,3092.4,12.95,2,16.156345387968507
-3.489475,-79.164948,2457.5,32.20183122417343,1935.5981914579156,0.0,12:10:36,703854.1210084186,9614104.636965556,57.86,3092.4,13.15,2,16.100915612086716
