latitude,longitude,height,distance,sum_distance,slope,date,utm_x,utm_y,velocidad_gps,consumo_total,consumo_inst,timestamp,old_height,ds,velocidad
-3.865232996596195,-79.27899900000583,2686.3,26.82857603967199,77401.0218244807,0.0,2017/08/15 13:24:25,691100.2956391119,9572575.602391478,47.06,3101.41,1.3,1502821465.0,2686.3,2.0,13.414288019835995
-3.8654389965951492,-79.27890800000586,2686.3,24.932243290072417,77425.95406777077,0.0,2017/08/15 13:24:27,691110.3571863244,9572552.801438026,44.65,3101.41,0.55,1502821467.0,2686.3,2.0,12.466121645036209
-3.8656579965948916,-79.27888500000584,2686.3,24.362504429492276,77450.31657220026,0.0,2017/08/15 13:24:29,691112.8628178348,9572528.5781789,43.34,3101.41,0.6,1502821469.0,2686.3,2.0,12.181252214746138
-3.865887996595523,-79.27893800000584,2686.3,26.1169529565934,77476.43352515686,0.0,2017/08/15 13:24:31,691106.9243990933,9572503.155587066,42.89,3101.41,3.8,1502821471.0,2686.3,2.0,13.0584764782967
-3.8660699965966008,-79.27903000000585,2686.3,22.5820798446512,77499.0156050015,0.0,2017/08/15 13:24:33,691096.6648709874,9572483.049844813,42.6,3101.42,7.3,1502821473.0,2686.3,2.0,11.2910399223256
-3.866284996597482,-79.27910600000581,2686.3,25.239918894735787,77524.25552389624,0.0,2017/08/15 13:24:35,691088.1751270967,9572459.291203098,46.26,3101.42,12.05,1502821475.0,2686.3,2.0,12.619959447367894
-3.8665189965980327,-79.27915200000584,2686.3,26.386507691526425,77550.64203158776,0.0,2017/08/15 13:24:37,691083.0133289404,9572433.424699705,48.95,3101.43,11.6,1502821477.0,2686.3,2.0,13.193253845763213
-3.8667739965978747,-79.27913700000583,2686.3,28.258370506156194,77578.90040209392,0.0,2017/08/15 13:24:39,691084.6222977664,9572405.222188193,52.6,3101.43,6.65,1502821479.0,2686.3,2.0,14.129185253078097
-3.8670489965969193,-79.27905300000585,2686.3,31.819979586279583,77610.72038168019,0.0,2017/08/15 13:24:41,691093.8908369401,9572374.792449731,58.97,3101.44,14.4,1502821481.0,2686.3,2.0,15.909989793139792
-3.8673319965957855,-79.27895400000583,2686.3,33.181242471329234,77643.90162415152,0.0,2017/08/15 13:24:43,691104.8236720711,9572343.474652186,61.71,3101.44,7.35,1502821483.0,2686.3,2.0,16.590621235664617
-3.867630996594473,-79.27883900000586,2693.5,35.45645782796719,77679.35808197949,0.203065969954862,2017/08/15 13:24:45,691117.5300811451,9572310.383890016,61.71,3101.45,12.05,1502821485.0,2693.5,2.0,17.728228913983596
-3.867943996593077,-79.27871700000584,2693.6,37.18119367018007,77716.53927564967,0.0026895317263606494,2017/08/15 13:24:47,691131.0108507343,9572275.743357541,61.71,3101.45,13.75,1502821487.0,2693.6,2.0,18.590596835090036
-3.868431996590983,-79.27853400000585,2693.6,57.676649506089156,77774.21592515576,0.0,2017/08/15 13:24:50,691151.2278292419,9572221.736726047,70.78,3101.46,13.8,1502821490.0,2693.6,3.0,19.22554983536305
