FECHA;HORA;LATITUD;LONGITUD;ALTITUD;VELOCIDAD;CONSUMO_TOTAL;CPNSUMO_INSTANTANEO;
15/8/17;10:25:44;-2.932.113;-79.043.907;2603.80;31.74;3083.35;7.50;
15/8/17;10:25:46;-2.932.279;-79.043.953;2603.80;34.21;3083.35;8.30;
15/8/17;10:25:48;-2.932.422;-79.044.067;2603.80;38.56;3083.36;8.95;
15/8/17;10:25:50;-2.932.601;-79.044.090;2603.80;36.21;3083.36;6.30;
15/8/17;10:25:52;-2.932.758;-79.044.159;2603.80;37.06;3083.36;6.30;
15/8/17;10:25:54;-2.932.909;-79.044.365;2603.80;39.28;3083.37;7.65;
15/8/17;10:25:56;-2.933.141;-79.044.319;2603.80;42.73;3083.37;7.15;
15/8/17;10:25:58;-2.933.342;-79.044.426;2603.80;44.10;3083.38;5.95;
15/8/17;10:26:00;-2.933.544;-79.044.533;2603.80;46.21;3083.38;3.15;
15/8/17;10:26:02;-2.933.761;-79.044.640;2603.80;50.62;3083.38;4.80;
15/8/17;10:26:04;-2.933.963;-79.044.762;2603.80;52.30;3083.38;4.05;
15/8/17;10:26:08;-2.934.440;-79.044.991;2594.60;55.95;3083.33;8.40;
15/8/17;10:26:10;-2.934.704;-79.045.143;2610.00;55.95;3083.33;0.00;
15/8/17;10:26:12;-2.934.976;-79.045.288;2608.10;55.95;3083.33;0.00;
15/8/17;10:26:15;-2.935.340;-79.045.456;2608.10;53.08;3083.33;0.00;
15/8/17;10:26:17;-2.935.689;-79.045.677;2608.10;51.43;3083.33;0.25;
15/8/17;10:26:20;-2.935.938;-79.045.715;2608.10;50.45;3083.33;0.25;
15/8/17;10:26:22;-2.936.173;-79.045.792;2608.10;49.45;3083.33;0.05;
15/8/17;10:26:24;-2.936.389;-79.045.883;2608.10;47.91;3083.33;0.05;
15/8/17;10:26:26;-2.936.607;-79.045.967;2608.10;46.89;3083.33;0.15;
15/8/17;10:26:28;-2.936.825;-79.046.051;2608.10;45.82;3083.33;0.05;
15/8/17;10:26:30;-2.937.030;-79.046.127;2608.10;44.80;3083.33;0.05;
15/8/17;10:26:32;-2.937.237;-79.046.211;2608.10;44.45;3083.33;0.15;
15/8/17;10:26:34;-2.937.445;-79.046.295;2608.10;44.00;3083.33;0.40;
15/8/17;10:26:36;-2.937.652;-79.046.387;2608.10;45.63;3083.33;0.40;
15/8/17;10:26:38;-2.937.866;-79.046.471;2608.10;46.95;3083.33;5.35;
15/8/17;10:26:40;-2.938.082;-79.046.539;2608.10;47.15;3083.33;5.35;
15/8/17;10:26:42;-2.938.308;-79.046.646;2595.30;47.15;3083.33;4.75;
15/8/17;10:26:44;-2.938.526;-79.046.730;2596.90;47.15;3083.33;4.75;
15/8/17;10:26:47;-2.938.860;-79.046.837;2596.90;47.08;3083.33;4.75;
15/8/17;10:26:49;-2.939.093;-79.046.906;2596.90;47.65;3083.33;6.35;
15/8/17;10:26:51;-2.939.332;-79.046.928;2596.90;46.82;3083.33;3.20;
15/8/17;10:26:53;-2.939.570;-79.046.921;2596.90;47.30;3083.33;4.10;
15/8/17;10:26:55;-2.939.802;-79.046.875;2596.90;45.45;3083.33;5.85;
15/8/17;10:26:56;-2.939.952;-79.046.860;2596.90;43.56;3083.33;5.85;
15/8/17;10:26:59;-2.940.233;-79.046.661;2596.90;45.39;3083.34;6.85;
15/8/17;10:27:01;-2.940.432;-79.046.562;2596.90;46.19;3083.34;8.40;
15/8/17;10:27:03;-2.940.627;-79.046.440;2596.90;45.47;3083.35;6.20;
15/8/17;10:27:05;-2.940.804;-79.046.310;2596.90;46.47;3083.35;5.15;
15/8/17;10:27:07;-2.941.012;-79.046.188;2596.90;45.34;3083.36;7.95;
15/8/17;10:27:09;-2.941.222;-79.046.089;2596.90;44.78;3083.36;8.10;
15/8/17;10:27:11;-2.941.435;-79.045.990;2596.90;45.00;3083.36;3.10;
15/8/17;10:27:13;-2.941.624;-79.045.876;2596.90;44.69;3083.36;5.95;
15/8/17;10:27:15;-2.941.812;-79.045.761;2609.70;44.69;3083.36;2.90;
15/8/17;10:27:17;-2.942.002;-79.045.670;2610.90;44.69;3083.37;3.65;
15/8/17;10:27:20;-2.942.311;-79.045.601;2610.90;42.61;3083.37;5.70;
15/8/17;10:27:22;-2.942.516;-79.045.601;2610.90;41.11;3083.37;5.75;
15/8/17;10:27:24;-2.942.722;-79.045.609;2610.90;41.82;3083.37;2.55;
15/8/17;10:27:26;-2.942.929;-79.045.631;2610.90;43.39;3083.38;6.30;
15/8/17;10:27:28;-2.943.140;-79.045.639;2610.90;44.74;3083.38;8.05;
15/8/17;10:27:30;-2.943.379;-79.045.647;2610.90;46.23;3083.39;8.45;
15/8/17;10:27:32;-2.943.616;-79.045.654;2610.90;46.97;3083.39;8.70;
15/8/17;10:27:34;-2.944.028;-79.045.769;2610.90;48.08;3083.40;9.80;
15/8/17;10:27:37;-2.944.225;-79.045.715;2610.90;43.28;3083.40;3.70;
15/8/17;10:27:41;-2.944.577;-79.045.738;2610.90;42.21;3083.41;6.25;
15/8/17;10:27:43;-2.944.834;-79.045.860;2610.90;42.65;3083.41;6.35;
15/8/17;10:27:45;-2.945.052;-79.045.937;2610.90;43.04;3083.42;9.70;
15/8/17;10:27:47;-2.945.238;-79.046.021;2620.50;43.04;3083.42;4.40;
15/8/17;10:27:49;-2.945.479;-79.046.272;2620.50;39.24;3083.43;7.25;
15/8/17;10:27:52;-2.945.719;-79.046.265;2620.50;41.34;3083.43;6.50;
15/8/17;10:27:53;-2.945.792;-79.046.272;2631.80;41.34;3083.43;6.75;
15/8/17;10:27:56;-2.946.088;-79.046.425;2631.80;41.65;3083.44;5.15;
15/8/17;10:27:58;-2.946.280;-79.046.532;2631.80;43.43;3083.44;5.95;
15/8/17;10:28:00;-2.946.484;-79.046.616;2631.80;46.60;3083.45;6.15;
15/8/17;10:28:02;-2.946.694;-79.046.722;2631.80;47.60;3083.45;5.15;
15/8/17;10:28:04;-2.946.907;-79.046.822;2631.80;46.73;3083.45;6.65;
15/8/17;10:28:06;-2.947.128;-79.046.906;2631.80;48.11;3083.45;1.65;
15/8/17;10:28:08;-2.947.381;-79.046.951;2631.80;50.86;3083.46;9.25;
15/8/17;10:28:10;-2.947.675;-79.047.005;2631.80;60.50;3083.46;8.45;
15/8/17;10:28:12;-2.947.990;-79.047.058;2631.80;64.89;3083.46;16.85;
15/8/17;10:28:16;-2.948.658;-79.047.134;2622.50;67.08;3083.33;0.00;
15/8/17;10:28:18;-2.949.018;-79.047.173;2622.50;71.76;3083.34;11.20;
15/8/17;10:28:20;-2.949.377;-79.047.211;2622.70;71.76;3083.34;11.80;
15/8/17;10:28:22;-2.949.742;-79.047.264;2623.20;71.76;3083.34;4.85;
15/8/17;10:28:25;-2.950.285;-79.047.417;2623.20;74.08;3083.35;4.75;
15/8/17;10:28:29;-2.950.926;-79.046.936;2623.20;131.53;3083.35;5.60;
15/8/17;10:28:31;-2.951.298;-79.047.485;2623.20;75.45;3083.36;5.95;
15/8/17;10:28:33;-2.951.610;-79.047.874;2623.20;73.58;3083.36;4.35;
15/8/17;10:28:35;-2.951.951;-79.048.141;2623.20;72.28;3083.36;3.65;
15/8/17;10:28:37;-2.952.270;-79.048.370;2623.20;71.23;3083.36;3.80;
15/8/17;10:28:39;-2.952.577;-79.048.584;2623.20;70.76;3083.36;3.15;
15/8/17;10:28:39;-2.952.877;-79.048.782;2623.20;68.84;3083.37;1.55;
15/8/17;10:28:41;-2.953.181;-79.048.965;2623.20;68.78;3083.37;1.65;
15/8/17;10:28:43;-2.953.489;-79.049.118;2623.20;66.43;3083.37;0.05;
15/8/17;10:28:45;-2.953.794;-79.049.255;2623.20;65.99;3083.37;0.20;
15/8/17;10:28:47;-2.954.098;-79.049.385;2623.20;65.95;3083.37;1.30;
15/8/17;10:28:49;-2.954.404;-79.049.515;2608.60;65.95;3083.37;4.15;
15/8/17;10:28:51;-2.954.716;-79.049.622;2609.40;65.95;3083.37;4.15;
15/8/17;10:28:54;-2.955.193;-79.049.744;2609.40;66.08;3083.37;3.25;
15/8/17;10:28:56;-2.955.518;-79.049.805;2609.40;65.80;3083.38;5.25;
15/8/17;10:28:58;-2.955.846;-79.049.850;2609.40;64.82;3083.38;1.90;
15/8/17;10:29:00;-2.956.166;-79.049.843;2609.40;64.17;3083.38;1.90;
15/8/17;10:29:02;-2.956.478;-79.049.774;2609.40;64.28;3083.38;2.95;
15/8/17;10:29:04;-2.956.791;-79.049.667;2609.40;66.45;3083.39;7.55;
15/8/17;10:29:06;-2.957.095;-79.049.606;2609.40;60.32;3083.39;7.65;
15/8/17;10:29:08;-2.957.392;-79.049.553;2609.40;58.76;3083.39;2.45;
15/8/17;10:29:10;-2.957.670;-79.049.423;2609.40;59.00;3083.39;2.45;
15/8/17;10:29:12;-2.957.904;-79.049.248;2609.40;60.04;3083.39;5.80;
15/8/17;10:29:14;-2.958.107;-79.049.034;2609.40;60.60;3083.40;5.60;
15/8/17;10:29:16;-2.958.299;-79.048.798;2609.40;59.95;3083.40;5.60;
15/8/17;10:29:18;-2.958.510;-79.048.584;2609.40;58.13;3083.40;2.25;
15/8/17;10:29:20;-2.958.765;-79.048.439;2609.40;57.12;3083.40;3.70;
15/8/17;10:29:22;-2.959.066;-79.048.370;2619.00;57.12;3083.41;5.05;
15/8/17;10:29:24;-2.959.377;-79.048.386;2620.00;57.12;3083.41;5.05;
15/8/17;10:29:27;-2.959.832;-79.048.531;2620.00;61.71;3083.41;5.05;
15/8/17;10:29:29;-2.960.108;-79.048.676;2620.00;60.47;3083.41;4.65;
15/8/17;10:29:31;-2.960.320;-79.048.889;2620.00;60.67;3083.41;4.70;
15/8/17;10:29:33;-2.960.475;-79.049.141;2620.00;59.34;3083.41;1.20;
15/8/17;10:29:35;-2.960.617;-79.049.393;2620.00;56.08;3083.41;1.20;
15/8/17;10:29:37;-2.960.752;-79.049.606;2620.00;49.50;3083.42;0.85;
15/8/17;10:29:47;-2.961.429;-79.050.056;2620.00;18.35;3083.42;0.85;
15/8/17;10:29:49;-2.961.544;-79.050.087;2620.00;10.28;3083.42;0.00;
15/8/17;10:29:51;-2.961.582;-79.050.087;2620.00;7.95;3083.42;0.00;
15/8/17;10:29:53;-2.961.608;-79.050.087;2616.90;7.95;3083.42;0.00;
15/8/17;10:29:55;-2.961.608;-79.050.087;2618.20;7.95;3083.42;1.00;
15/8/17;10:29:58;-2.961.607;-79.050.087;2618.20;0.04;3083.42;1.00;
15/8/17;10:30:00;-2.961.610;-79.050.087;2618.20;1.80;3083.42;1.00;
15/8/17;10:30:02;-2.961.622;-79.050.087;2618.20;2.11;3083.42;1.45;
15/8/17;10:30:04;-2.961.625;-79.050.095;2618.20;0.15;3083.42;1.30;
15/8/17;10:30:06;-2.961.626;-79.050.095;2618.20;0.11;3083.42;1.30;
15/8/17;10:30:08;-2.961.626;-79.050.095;2618.20;0.17;3083.42;1.00;
15/8/17;10:30:12;-2.961.627;-79.050.095;2618.50;0.35;3083.33;4.65;
15/8/17;10:30:14;-2.961.627;-79.050.087;2618.50;0.22;3083.33;0.00;
15/8/17;10:30:16;-2.961.627;-79.050.087;2618.50;0.06;3083.33;0.00;
15/8/17;10:30:18;-2.961.628;-79.050.087;2618.50;0.85;3083.33;0.00;
15/8/17;10:30:20;-2.961.636;-79.050.087;2617.60;0.85;3083.33;2.85;
15/8/17;10:30:22;-2.961.660;-79.050.095;2617.30;0.85;3083.33;0.80;
15/8/17;10:30:25;-2.961.738;-79.050.117;2617.30;10.82;3083.33;2.75;
15/8/17;10:30:26;-2.961.736;-79.050.095;2617.30;12.06;3083.33;3.65;
15/8/17;10:30:29;-2.961.861;-79.050.125;2617.30;20.54;3083.33;5.95;
15/8/17;10:30:31;-2.961.998;-79.050.140;2617.30;29.47;3083.34;5.75;
15/8/17;10:30:33;-2.962.175;-79.050.156;2617.30;35.54;3083.34;8.50;
15/8/17;10:30:35;-2.962.367;-79.050.110;2617.30;40.61;3083.34;6.60;
15/8/17;10:30:37;-2.962.584;-79.050.026;2617.30;48.06;3083.35;13.20;
15/8/17;10:30:39;-2.962.826;-79.049.919;2617.30;54.52;3083.36;19.90;
15/8/17;10:30:41;-2.963.089;-79.049.828;2617.30;56.12;3083.37;7.40;
