date,height,old_height,utm_x,utm_y,distance,slope,sum_distance,velocidad,ds,velocidad_gps,consumo_total,consumo_inst,latitud,longitud,new_distance,new_slope,new_sum_distance,nueva_velocidad
12:22:22,3025.033075032541,3022.8,702198.8324822108,9605597.076692423,43.0503872325445,0.0,14304.797767889153,21.52519361627225,2,77.86,3094.87,0.15,-3.566432607185396,-79.17969375237091,64.61670115015083,-0.04884866405046049,14062.439315777001,32.308350575075416
12:22:24,3021.876635506009,3022.8,702193.9432932214,9605532.655254494,42.117834285814595,0.0,14374.088615622688,21.058917142907298,2,74.47,3094.87,0.15,-3.567015216830353,-79.17973660636214,64.61670115199931,-0.04884866404905605,14127.056016929,32.308350575999654
12:22:26,3018.7201959794766,3022.8,702189.054104232,9605468.233816568,41.00314703498408,0.0,14443.379463356225,20.50157351749204,2,73.41,3094.87,0.2,-3.5675978264940498,-79.17977946022138,64.616701150142,-0.04884866405046013,14191.672718079142,32.308350575071
12:22:28,3015.5637564529443,3022.8,702184.1649152425,9605403.812378641,40.161835632191305,0.0,14512.67031108976,20.080917816095653,2,72.8,3094.87,0.25,-3.5681804361765024,-79.17982231394865,64.61670115015083,-0.048848664050453454,14256.289419229293,32.308350575075416
12:22:30,3022.8,3022.8,702274.538393235,9605347.83412285,40.06110937754663,0.0,14592.893256099496,20.030554688773314,2,72.38,3094.87,0.25,-3.5686849952324855,-79.17900800000785,106.31583542744424,0.06806364750803563,14362.605254656737,53.15791771372212
12:22:32,3022.8,3022.8,702246.4822824001,9605320.24200255,39.36060936982475,0.0,14632.253865469322,19.680304684912375,2,72.93,3094.87,0.1,-3.5689349952363947,-79.17926000000783,39.36060936982475,0.0,14401.965864026562,19.680304684912375
12:22:34,3022.8,3022.8,702212.5479482263,9605298.19104009,40.47954387292325,0.0,14672.733409342245,20.239771936461626,2,73.49,3094.87,0.1,-3.5691349952411193,-79.17956500000783,40.47954387292325,0.0,14442.445407899486,20.239771936461626
12:22:36,3022.8,3022.8,702176.836642314,9605276.5859514,41.74819865783136,0.0,14714.481608000076,20.87409932891568,2,74.01,3094.87,0.1,-3.5693309952460957,-79.17988600000783,41.74819865783136,0.0,14484.193606557317,20.87409932891568
12:22:38,3022.8,3022.8,702146.2249015642,9605248.998883123,41.218312364456146,0.0,14755.699920364532,20.609156182228073,2,73.36,3094.87,0.2,-3.569580995250351,-79.18016100000784,41.218312364456146,0.0,14525.411918921773,20.609156182228073
12:22:40,2991.1,2991.1,702128.3745075006,9605212.760512259,40.406238575929514,-0.7845323177120561,14796.106158940462,20.203119287964757,2,73.36,3094.87,0.15,-3.569908995252844,-79.18032100000784,40.406238575929514,-0.7845323177120561,14565.818157497702,20.203119287964757
12:22:42,2990.2,2990.2,702123.1806714083,9605171.078172171,42.01468317357315,-0.021421082631563976,14838.120842114035,21.007341586786573,2,73.36,3094.87,0.15,-3.570285995253579,-79.18036700000783,42.01468317357315,-0.021421082631563976,14607.832840671275,21.007341586786573
12:22:45,2990.2,2990.2,702123.0531070076,9605106.60416855,64.484129817825,0.0,14902.60497193186,21.494709939275,3,77.78,3094.87,0.15,-3.5708689952536363,-79.18036700000783,64.484129817825,0.0,14672.3169704891,21.494709939275
12:22:47,2990.2,2990.2,702116.1909800618,9605064.150999041,43.01419034801356,0.0,14945.619162279874,21.50709517400678,2,77.36,3094.87,0.05,-3.571252995254606,-79.18042800000785,43.01419034801356,0.0,14715.331160837115,21.50709517400678
12:22:49,2990.2,2990.2,702095.7825171069,9605026.701210352,42.65964282475234,0.0,14988.278805104626,21.32982141237617,2,77.51,3094.87,0.05,-3.5715919952574517,-79.18061100000781,42.65964282475234,0.0,14757.990803661867,21.32982141237617
12:22:51,2990.2,2990.2,702063.5047643773,9604999.44923392,42.25362130237624,0.0,15030.532426407002,21.12681065118812,2,77.97,3094.87,4.05,-3.571838995261931,-79.18090100000782,42.25362130237624,0.0,14800.244424964243,21.12681065118812
12:22:53,2990.2,2990.2,702022.0334893154,9604986.923973016,43.33145906985466,0.0,15073.863885476858,21.66572953492733,2,77.93,3094.87,9.0,-3.571952995267672,-79.1812740000078,43.33145906985466,0.0,14843.575884034099,21.66572953492733
12:22:55,2990.2,2990.2,701979.5923731355,9604989.662095994,42.539350571534904,0.0,15116.403236048393,21.269675285767452,2,77.1,3094.88,10.8,-3.571928995273532,-79.18165600000779,42.539350571534904,0.0,14886.115234605633,21.269675285767452
